count,SDBM,JS,DJB,AP,RS,BKDR,DEK,ELF,PJW
16384,0,0,0,0,0,0,0,0,0
32768,0,0,0,0,0,0,0,4,4
49152,0,0,0,0,0,1,0,11,11
65536,0,0,0,0,0,1,0,18,18
81920,1,0,0,0,0,1,0,26,26
98304,1,0,0,3,0,1,1,35,35
114688,1,0,1,3,0,1,2,47,47
131072,1,1,1,3,0,2,2,61,61
147456,1,2,1,3,0,2,4,75,75
163840,1,3,3,4,0,4,8,92,92
180224,2,4,5,4,2,5,9,101,101
196608,2,4,6,4,3,7,13,115,115
212992,2,5,6,5,4,7,15,131,131
229376,4,6,8,6,4,7,16,153,153
245760,5,7,8,8,5,9,18,177,177
262144,6,7,10,8,5,10,19,199,199
278528,7,9,12,8,6,12,22,216,216
294912,9,9,13,10,7,12,24,233,233
311296,10,11,16,13,8,14,29,259,259
327680,12,11,20,16,8,16,29,283,283
344064,14,11,22,16,15,17,32,308,308
360448,14,12,24,19,16,17,35,335,335
376832,15,12,25,21,17,19,36,365,365
393216,16,13,28,22,17,24,37,395,395
409600,17,15,31,23,19,24,41,429,429
425984,19,18,33,25,21,24,45,467,467
442368,23,22,33,29,25,29,49,507,507
458752,24,24,35,30,26,30,51,546,546
475136,27,26,36,31,27,32,53,575,575
491520,27,28,38,35,29,32,54,616,616
507904,29,29,39,35,33,37,57,663,663
524288,30,31,40,37,34,43,62,711,711
540672,30,35,42,40,37,44,64,752,752
557056,30,36,44,42,38,48,68,795,795
573440,31,39,47,47,41,49,70,832,832
589824,32,42,48,49,42,51,73,890,890
606208,34,47,48,50,48,54,79,936,936
622592,36,49,50,52,51,56,83,996,996
638976,38,55,51,57,53,59,89,1029,1029
655360,39,56,52,58,57,62,95,1076,1076
671744,40,58,54,61,60,67,100,1134,1134
688128,42,61,60,61,63,69,103,1182,1182
704512,47,64,64,61,64,69,113,1239,1239
720896,50,64,67,65,66,71,117,1305,1305
737280,57,64,70,72,69,72,125,1366,1366
753664,60,67,74,75,72,78,132,1422,1422
770048,62,71,79,77,73,80,139,1482,1482
786432,64,75,81,80,77,83,144,1543,1543
802816,65,75,83,82,80,86,149,1607,1607
819200,65,76,87,84,85,89,151,1687,1687
835584,65,81,87,88,89,95,154,1744,1744
851968,70,83,87,92,92,98,164,1804,1804
868352,70,86,92,96,96,101,168,1879,1879
884736,71,91,97,102,102,106,171,1935,1935
901120,76,95,99,103,107,111,177,2019,2019
917504,79,97,104,104,108,118,183,2100,2100
933888,81,99,109,108,114,121,189,2171,2171
950272,87,102,112,113,119,128,194,2235,2235
966656,92,105,115,117,125,132,199,2313,2313
983040,95,105,122,120,129,135,202,2401,2401
999424,99,107,124,125,132,143,208,2492,2492
1015808,105,110,130,129,136,151,217,2582,2582
1032192,109,113,132,133,142,157,223,2655,2655
1048576,113,116,134,135,145,161,226,2738,2738
